"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"CARRIERES de Durlinsdorf (Sté des )";"ROHBERG";"68";"68480";"DURLINSDORF";"68074";969020;2288133;"CALCAIRE"
"GRAVIRHIN (carrière)";"MASCHIECKE";"68";"68190";"ENSISHEIM";"68082";973877;2330459;"MAT.SILICO CALCAIRE"
"SIVU SAINT-NABOR";"communes de Saint-Nabor et Ottrott";"67";"67530";"ST NABOR";"67428";975861;2395181;"PORPHYRE"
"CMGV Lohr";"""Gundbierenfeld""";"67";"67290";"LOHR";"67273";959967;2439588;"GRES"
"WENDLING (Burbach)";"lieu-dit ""Pont Blanc""";"67";"67260";"BURBACH";"67070";950815;2445041;"CALCAIRE"
"GRE - PHILLIPPS  (Pfalzweyer)";"Schwemmberg";"67";"67320";"PFALZWEYER";"67373";961093;2435042;"GRES"
"CARRIERE DE TRAPP (Plaine)";"""Jallhaye""";"67";"67420";"PLAINE";"67377";953353;2389981;"GRES"
"RAUSCHER Rothbach (Winkelberg)";"WINKELBERG";"67";"67340";"ROTHBACH";"67415";979785;2447423;"GRES"
"RAUSCHER Rothbach (Hirschtal)";"HIRSCHTAL";"67";"67340";"ROTHBACH";"67415";979654;2447673;"GRES"
"LOEGEL  (Rothbach)";"Gemeindewald - Hochbruch";"67";"67340";"ROTHBACH";"67415";979363;2447688;"GRES"
"CARRIERE DE SAINT-PIERRE-BOIS";"IM TAELELE - AM BLIENSCHWEILLER WEG";"67";"67220";"ST PIERRE BOIS";"67430";972983;2382368;"PORPHYRE"
"RAUSCHER Adamswiller (carrière)";"NACHTWEID";"67";"67320";"ADAMSWILLER";"67002";957001;2445729;"GRES"
"SCHNEIDER (Bust - Hinterwald)";"HINTERWALD";"67";"67320";"BUST";"67071";960401;2435655;"GRES"
"SCHNEIDER (Bust - Grosse Eich)";"GROSSE EICH";"67";"67320";"BUST";"67071";960098;2437245;"GRES"
